user_date,deletions,additions
Mike Bostock (2014-04-06T04:50:33Z),8,9
Mike Bostock (2014-04-06T05:05:11Z),0,41
Mike Bostock (2014-04-06T05:24:21Z),17,7
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
Mike Bostock (2014-03-24T16:02:48Z),5,5
Mike Bostock (2014-03-25T03:45:44Z),304,518
Jason Davies (2014-04-04T13:29:23Z),16,29
Mike Bostock (2014-04-06T04:41:03Z),131,73
Mike Bostock (2014-04-06T04:50:33Z),8,9
Mike Bostock (2014-04-06T05:05:11Z),0,41
Mike Bostock (2014-04-06T05:24:21Z),17,7
Mike Bostock (2014-04-08T04:41:17Z),15,28
Mike Bostock (2014-04-08T04:43:32Z),147,134
Chris Wanstrath (2014-04-08T18:46:26Z),1,1
Mike Bostock (2013-11-18T22:08:13Z),0,25
Mike Bostock (2013-11-19T16:37:28Z),0,7
Mike Bostock (2013-11-19T17:15:42Z),11,22
Mike Bostock (2013-11-19T17:15:42Z),34,22
Mike Bostock (2013-11-19T17:16:05Z),4,4
Mike Bostock (2013-11-19T17:17:11Z),6,6
Mike Bostock (2013-11-19T17:17:45Z),4,4
Mike Bostock (2013-11-19T17:18:12Z),6,6
Mike Bostock (2013-11-19T17:19:00Z),37,36
Mike Bostock (2013-11-20T20:59:08Z),0,2
Mike Bostock (2013-11-20T23:25:24Z),1,1
Guy Bedford (2013-11-25T12:26:45Z),1,8
Mike Bostock (2013-11-30T01:04:42Z),11,11
Mike Bostock (2013-12-03T16:23:14Z),1,8
Mike Bostock (2013-12-03T20:04:03Z),32,54
Mike Bostock (2013-12-04T18:00:18Z),4,16
Daniel Goldbach (2013-12-05T08:05:38Z),3,3
Mike Bostock (2013-12-05T16:18:23Z),3,3
Mike Bostock (2013-12-12T23:36:35Z),37,42
Mike Bostock (2013-12-13T22:00:23Z),59,47
Mike Bostock (2013-12-13T23:57:10Z),9,28
Mike Bostock (2013-12-13T23:59:50Z),4,16
Mike Bostock (2013-12-14T00:03:09Z),9,28
Mike Bostock (2013-12-14T00:04:00Z),20,35
Mike Bostock (2013-12-14T00:06:11Z),31,77
Stuart Glaser (2013-12-16T01:06:47Z),0,5
Stuart Glaser (2013-12-16T01:06:57Z),0,6
Mike Bostock (2013-12-16T17:22:34Z),8,7
Mike Bostock (2013-12-16T17:24:53Z),9,19
Mike Bostock (2014-01-09T19:21:14Z),5,30
Mike Bostock (2012-11-12T16:40:58Z),69,2
Mike Bostock (2012-11-12T18:06:39Z),95,2
Mike Bostock (2012-11-12T18:07:42Z),6,0
Mike Bostock (2012-11-12T18:12:08Z),100,0
Mike Bostock (2012-11-12T19:11:58Z),610,6
Mike Bostock (2012-11-12T19:56:20Z),879,2
Mike Bostock (2012-11-12T21:22:43Z),349,2
